date,price
2019-01-18,349.99
2019-02-07,329.99
2019-02-20,349.99
2019-04-28,339.99
2019-05-23,349.99
2019-05-31,344.99
2019-06-07,349.99
2019-06-10,334.99
2019-06-11,329.99
2019-07-01,334.99
2019-07-10,334.15
2019-07-29,334.99
2019-08-02,339.99
2019-08-04,334.99
2019-08-05,339.99
2019-08-13,334.99
2019-08-14,339.99
2019-08-21,334.99
2019-08-22,299.99
2019-08-28,334.99
2019-08-29,319.99
2019-08-30,334.99
2019-09-03,319.99
2019-09-05,339.3
2019-09-11,329.99
2019-09-14,319.99
2019-09-17,329.99
2019-09-23,319.99
2019-09-27,329.99
2019-10-01,339.99
2019-10-04,344.99
2019-10-09,329.99
2019-10-16,339.99
2019-10-17,349.99
2019-10-23,329.99
2019-10-25,343.98
2019-10-26,339.99
2019-11-02,319.99
2019-11-05,334.99
2019-11-09,329.99
2019-11-27,309.99
2019-12-01,329.99
2019-12-03,299.99
2019-12-04,339.99
2019-12-06,319.99
2019-12-16,339.99
2020-01-08,344.99
2020-01-09,329.99
2020-01-15,299.99
2020-01-16,319.99
2020-01-20,299.99
2020-01-22,319.99
2020-01-27,299.99
2020-01-29,319.99
2020-02-03,299.99
2020-02-10,319.99
2020-02-14,329.99
2020-02-15,299.99
2020-03-10,319.99
2020-03-11,299.99
2020-04-04,319.99
2020-04-07,299.99
2020-04-23,289.99
2020-04-24,299.99
2020-04-28,339.99
2020-04-30,299.99
2020-05-01,339.99
2020-05-02,319.99
2020-05-09,299.99
2020-05-11,319.99
2020-05-13,299.99
2020-05-14,339.99
2020-05-15,309.99
2020-05-19,299.99
2020-05-20,309.99
2020-05-22,299.99
2020-05-28,339.99
2020-05-29,279.99
2020-05-30,299.99
2020-06-13,329.99
2020-06-21,339.99
2020-06-23,329.99
2020-06-25,339.99
2020-06-27,329.99
2020-07-03,299.99
2020-07-13,314.99
2020-07-14,299.99
2020-07-29,314.99
2020-08-12,319.99
2020-08-14,314.99
2020-08-18,291.99
2020-08-22,314.99
2020-09-03,319.99
2020-09-06,314.99
2020-09-16,319.99
2020-09-20,314.99
2020-09-21,319.99
2020-09-25,314.99
2020-09-26,299.99
2020-10-07,314.99
2020-10-16,299.99
2020-10-20,269.99
2020-10-21,299.99
2020-10-23,319.99
2020-10-24,299.99
2020-10-25,291.99
2020-10-26,299.99
2020-11-03,289.99
2020-11-04,299.99
2020-11-07,314.99
2020-11-08,289.99
2020-11-10,314.99
2020-11-13,359.99
2020-11-15,314.99
2020-11-16,329.99
2020-11-17,359.99
2020-11-19,314.99
2020-11-21,329.99
2020-11-25,314.99
2020-11-26,329.99
2020-12-23,314.99
2021-04-08,329.99
2021-07-20,674.99
2021-07-27,639.99
2021-07-28,630.6
2021-07-29,639.99
2021-07-31,627.9
2021-08-06,439.99
