date,price
2019-11-28,159.99
2019-12-20,169.99
2019-12-26,164.99
2019-12-27,159.99
2019-12-28,164.99
2020-01-14,159.99
2020-03-10,159.99
2020-03-24,179.99
2020-03-27,159.99
2020-04-02,164.99
2020-04-04,169.99
2020-04-05,159.99
2020-04-09,164.99
2020-04-10,179.99
2020-04-11,184.99
2020-04-13,169.99
2020-04-14,169.99
2020-04-15,164.99
2020-04-16,189.99
2020-04-17,159.99
2020-04-19,159.99
2020-04-28,189.99
2020-04-29,159.99
2020-04-30,189.99
2020-05-01,159.99
2020-05-05,169.99
2020-05-06,159.99
2020-05-10,169.99
2020-05-13,169.99
2020-05-14,159.99
2020-05-16,164.99
2020-05-17,159.99
2020-05-18,164.99
2020-05-19,159.99
2020-05-22,159.99
2020-05-23,174.99
2020-05-26,159.99
2020-05-27,159.98
2020-06-02,166.87
2020-06-03,167.99
2020-06-05,159.99
2020-06-06,167.99
2020-06-07,189.99
2020-06-08,159.99
2020-06-09,174.99
2020-06-13,174.99
2020-06-17,169.99
2020-06-19,169.99
2020-06-20,164.99
2020-06-21,164.99
2020-06-22,159.99
2020-06-24,169.99
2020-06-25,179.99
2020-06-26,159.99
2020-06-27,164.99
2020-07-04,169.99
2020-07-07,164.99
2020-07-08,174.99
2020-07-09,174.99
2020-07-10,169.99
2020-07-12,171.13
2020-07-13,167.99
2020-07-14,174.99
2020-07-15,164.99
2020-07-16,164.99
2020-07-17,169.99
2020-07-24,179.99
2020-07-25,159.99
2020-07-26,169.99
2020-07-27,159.99
2020-08-05,159.99
2020-08-06,164.99
2020-08-15,169.99
2020-08-16,164.99
2020-08-18,169.99
2020-08-19,164.99
2020-08-21,154.99
2020-08-22,159.99
2020-09-04,159.99
2020-09-07,164.99
2020-09-10,167.99
2020-09-12,164.99
2020-09-15,167.99
2020-09-16,169.99
2020-09-17,164.99
2020-09-19,167.99
2020-09-21,151.46
2020-09-23,164.99
2020-09-25,169.99
2020-09-26,164.99
2020-09-27,169.99
2020-09-29,169.91
2020-09-30,169.99
2020-10-01,159.99
2020-10-02,164.99
2020-10-04,169.99
2020-10-05,164.99
2020-10-06,159.99
2020-10-07,164.99
2020-10-08,159.99
2020-10-19,149.99
2020-10-20,159.99
2020-10-22,164.57
2020-10-24,159.99
2020-10-25,164.99
2020-10-27,159.99
2020-10-28,164.99
2020-10-31,159.99
2020-11-01,164.99
2020-11-09,169.99
2020-11-14,164.99
2020-11-16,169.99
2020-11-27,164.99
2020-12-07,169.99
2021-01-01,179.99
2021-01-16,239.99
2021-03-25,164.99
2021-03-26,159.99
2021-05-13,159.99
2021-05-25,509.67
2021-06-06,467.67
2021-06-10,469.92
2021-06-13,429.99
2021-06-14,409.99
