date,price
2019-03-19,219.99
2019-04-13,219.99
2019-07-03,224.99
2019-07-08,219.99
2019-07-09,224.99
2019-07-17,219.99
2019-09-07,224.99
2019-09-12,219.99
2019-09-13,224.99
2019-09-15,214.99
2019-09-17,224.99
2019-09-25,229.99
2019-09-26,224.99
2019-10-01,224.98
2019-10-02,224.32
2019-10-03,224.99
2019-10-08,224.95
2019-10-15,224.99
2019-10-20,220.59
2019-10-21,221.17
2019-10-22,219.99
2019-10-24,229.99
2019-10-25,224.99
2019-11-02,209.99
2019-11-08,213.99
2019-11-13,224.99
2019-11-15,213.99
2019-11-16,224.99
2019-11-18,229.99
2019-11-26,209.99
2019-11-27,219.99
2019-11-28,203.99
2019-12-01,219.99
2019-12-02,229.99
2019-12-04,229.99
2019-12-05,203.99
2019-12-07,209.99
2019-12-11,209.99
2020-01-20,229.99
2020-01-21,209.99
2020-01-27,229.99
2020-01-28,209.99
2020-02-05,199.99
2020-02-19,209.99
2020-03-05,219.99
2020-03-10,189.99
2020-03-11,199.99
2020-03-13,216.99
2020-03-14,219.99
2020-03-17,199.99
2020-03-18,209.99
2020-03-19,209.99
2020-03-21,199.99
2020-03-22,219.99
2020-03-23,224.99
2020-03-24,189.99
2020-03-25,219.99
2020-03-27,229.99
2020-03-28,216.99
2020-03-29,229.99
2020-04-03,189.99
2020-04-04,229.99
2020-04-07,229.54
2020-04-08,229.97
2020-04-10,229.36
2020-04-11,229.97
2020-04-12,229.54
2020-04-13,229.97
2020-04-14,229.99
2020-04-15,214.99
2020-04-22,189.99
2020-04-23,224.99
2020-04-24,229.99
2020-04-25,199.99
2020-04-26,229.99
2020-04-27,234.99
2020-04-28,229.99
2020-04-29,199.99
2020-04-30,224.99
2020-05-01,229.99
2020-05-03,209.99
2020-05-05,199.99
2020-05-06,209.99
2020-05-10,209.99
2020-05-11,229.99
2020-05-15,199.99
2020-05-17,209.99
2020-05-18,216.97
2020-05-19,216.95
2020-05-21,214.99
2020-05-22,216.95
2020-05-29,209.99
2020-06-01,206.97
2020-06-03,229.99
2020-06-05,209.99
2020-06-06,229.99
2020-06-11,209.99
2020-06-14,229.99
2020-06-15,216.95
2020-06-22,229.99
2020-06-25,216.95
2020-06-26,229.99
2020-06-27,216.95
2020-06-29,216.95
2020-06-30,229.99
2020-07-01,214.99
2020-07-02,214.84
2020-07-06,214.99
2020-07-07,219.99
2020-07-08,216.95
2020-07-09,209.99
2020-07-11,219.99
2020-07-13,216.95
2020-07-14,189.99
2020-07-15,209.99
2020-07-16,189.99
2020-07-17,209.99
2020-07-18,189.99
2020-07-19,209.99
2020-08-06,219.95
2020-08-07,209.99
2020-08-09,214.99
2020-08-10,209.99
2020-08-16,189.99
2020-08-18,209.99
2020-08-19,189.99
2020-08-21,199.99
2020-08-22,214.99
2020-08-23,209.99
2020-08-25,189.99
2020-08-26,209.99
2020-08-31,213.89
2020-09-01,219.95
2020-09-03,214.99
2020-09-08,189.99
2020-09-09,209.99
2020-09-10,209.99
2020-09-11,189.99
2020-09-13,209.99
2020-09-15,189.99
2020-09-16,209.99
2020-09-20,214.99
2020-09-26,209.99
2020-09-27,214.99
2020-09-28,209.99
2020-10-01,189.99
2020-10-02,209.99
2020-10-07,189.99
2020-10-09,209.99
2020-10-16,189.99
2020-10-18,209.99
2020-10-19,189.99
2020-10-20,209.99
2020-11-03,229.99
2020-11-04,214.99
2020-11-05,229.99
2020-11-06,199.99
2020-11-08,189.99
2020-11-12,209.99
2020-11-13,209.99
2020-11-14,229.99
2020-11-15,239.99
2020-11-16,229.99
2020-11-18,199.99
2020-11-19,219.99
2020-11-20,199.99
2020-11-22,209.99
2020-11-24,209.59
2020-11-25,209.71
2020-11-27,219.99
2020-11-28,229.99
2020-12-14,209.59
2021-05-15,644.99
2021-05-16,229.99
2021-05-22,625.99
2021-05-23,229.99
2021-05-25,649.98
2021-05-26,599.99
2021-05-28,569.99
2021-06-06,542.75
2021-06-10,514.99
2021-06-12,484.98
2021-06-13,454.99
2021-07-03,497.39
2021-08-28,529.99
2021-08-29,497.63
2021-09-03,529.99
2021-09-05,220.21
