date,price
2017-11-04,449.99
2018-01-04,484.99
2018-01-06,499.99
2018-01-07,519.99
2018-01-11,499.99
2018-01-12,519.99
2018-01-13,459.99
2018-01-14,519.99
2018-02-12,569.99
2018-03-15,639.99
2018-03-16,612.25
2018-03-17,599.99
2018-04-01,589.99
2018-04-02,574.14
2018-04-03,589.99
2018-04-08,509.99
2018-04-11,569.99
2018-04-12,549.99
2018-04-15,499.99
2018-04-18,509.99
2018-04-19,549.99
2018-04-20,519.99
2018-04-22,509.99
2018-05-02,499.99
2018-05-04,509.99
2018-05-10,499.99
2018-05-20,479.99
2018-06-01,449.99
2018-06-02,467.61
2018-06-04,469.99
2018-06-11,459.99
2018-06-14,479.9
2018-06-16,449.99
2018-06-17,469.99
2018-06-18,449.99
2018-06-20,469.99
2018-07-03,449.99
2018-08-09,429.99
2018-08-20,439.99
2018-08-28,399.99
2018-09-08,399.99
2018-09-11,409.99
2018-09-12,406.4
2018-09-13,399.99
2018-10-10,397.99
2018-10-11,399.99
2018-10-14,419.99
2018-10-15,271.99
2018-10-18,409.99
2018-10-21,389.99
2018-10-28,409.99
2018-10-31,399.99
2018-11-02,397.99
2018-11-03,399.99
2018-11-10,394.99
2018-11-11,384.99
2018-11-15,394.99
2018-11-21,379.99
2018-11-27,349.99
2018-12-02,379.99
2018-12-12,378.99
2018-12-14,358.99
2018-12-19,378.99
2018-12-20,379.99
2018-12-22,359.99
2018-12-26,379.99
2018-12-27,399.99
2018-12-28,359.99
2018-12-30,379.99
2019-01-01,409.99
2019-01-02,359.99
2019-01-04,429.99
2019-01-06,439.99
2019-01-07,359.99
2019-01-08,448.99
2019-01-09,439.99
2019-01-19,359.99
2019-01-21,439.99
2019-01-23,419.99
2019-01-26,439.99
2019-01-27,459.99
2019-01-28,419.99
2019-01-30,479.99
2019-01-31,459.98
2019-02-01,429.99
2019-02-02,369.99
2019-02-03,429.99
2019-02-04,439.99
2019-02-05,498.99
2019-02-08,429.99
2019-02-12,498.99
2019-02-14,499.99
2019-02-17,469.99
2019-02-19,479.99
2019-02-21,379.99
2019-02-27,519.99
2019-02-28,369.99
2019-03-01,479.99
2019-03-02,519.99
2019-03-03,449.99
2019-03-04,519.99
2019-03-05,499.9
2019-03-06,519.99
2019-03-07,399.99
2019-03-08,499.99
2019-03-09,519.99
2019-03-10,499.99
2019-03-11,519.99
2019-03-22,579.99
2019-03-24,549.99
2019-03-25,519.99
2019-03-30,549.99
2019-04-02,579.99
2019-04-05,549.99
2019-04-06,575.35
2019-04-07,549.99
2019-04-08,519.99
2019-04-10,575.35
2019-04-12,549.99
2019-04-20,519.99
2019-04-22,584.48
2019-04-23,549.99
2019-04-24,545.45
2019-04-26,549.99
2019-04-30,526.02
2019-05-03,547.72
2019-05-04,538.56
2019-05-06,526.02
2019-05-10,536.38
2019-05-11,429.99
2019-05-12,470.49
2019-05-20,466.32
2019-05-21,470.49
2019-05-25,466.41
2019-05-30,471.47
2019-06-03,461.98
2019-06-04,409.99
2019-06-10,461.98
2019-06-12,471.47
2019-06-13,599.99
2019-06-14,536.38
2019-06-15,599.99
2019-06-16,536.38
2019-06-18,599.99
2019-06-21,536.38
2019-06-22,599.99
2019-06-23,536.38
2019-06-26,599.99
2019-06-28,536.38
2019-06-29,480.89
2019-06-30,528.54
2019-07-05,529.48
2019-07-08,559.99
2019-07-10,541.65
2019-07-14,549.99
2019-07-16,599.99
2019-08-03,549.99
2019-08-05,499.9
2019-08-17,549.99
2019-10-06,329.99
2020-03-13,319.99
2020-03-14,329.99
2020-03-19,329.99
2021-05-16,549.99
2021-05-28,513.27
2021-06-06,781.9
2021-06-10,789.99
2021-06-14,664.99
2021-06-17,659.99
2021-06-18,654.99
2021-07-03,643.99
