date,price
2016-07-21,249.99
2016-08-04,289.99
2016-08-07,269.99
2016-08-11,289.99
2016-08-13,249.99
2016-08-15,269.99
2016-08-19,289.99
2016-08-20,249.99
2016-08-23,199.99
2016-09-14,249.99
2016-09-30,249.99
2016-10-09,239.99
2016-10-25,239.99
2016-11-08,249.99
2016-11-13,239.99
2016-11-24,224.99
2016-12-02,249.99
2016-12-04,239.99
2016-12-05,249.99
2016-12-09,239.99
2016-12-10,249.99
2017-01-03,239.99
2017-01-05,248.75
2017-01-08,244.99
2017-01-10,239.99
2017-01-16,244.99
2017-01-17,239.99
2017-01-27,239.99
2017-02-01,246.68
2017-02-02,239.99
2017-02-16,229.99
2017-02-24,239.99
2017-02-26,234.99
2017-03-01,224.99
2017-03-09,234.99
2017-03-18,149.99
2017-03-19,234.99
2017-03-30,229.99
2017-04-10,234.99
2017-04-15,219.99
2017-04-21,230.39
2017-05-02,215.8
2017-05-03,211.27
2017-05-04,206.83
2017-05-05,234.99
2017-05-07,202.49
2017-05-09,234.99
2017-05-10,197.95
2017-05-14,209.16
2017-05-18,229.99
2017-05-26,229.99
2017-06-03,239.89
2017-06-07,236.92
2017-06-08,232.23
2017-06-09,234.14
2017-06-11,237.11
2017-06-13,241.66
2017-06-15,242.99
2017-06-16,246.99
2017-06-19,295.99
2017-06-20,246.99
2017-06-21,279.99
2017-06-22,274.29
2017-06-23,242.99
2017-06-24,279.99
2017-06-25,299.99
2017-06-27,279.99
2017-06-29,299.99
2017-07-10,293.63
2017-07-11,296.88
2017-07-12,299.99
2017-07-13,269.99
2017-07-16,259.99
2017-07-17,269.99
2017-07-24,264.99
2017-07-29,289.99
2017-07-30,264.99
2017-07-31,289.99
2017-08-01,264.99
2017-08-11,277.93
2017-08-14,289.99
2017-08-21,284.99
2017-08-23,279.99
2017-08-27,264.99
2017-09-07,269.99
2017-09-08,284.99
2017-09-09,269.99
2017-09-10,264.99
2017-09-16,269.99
2017-09-17,267.81
2017-09-19,264.99
2017-10-01,259.99
2017-10-10,252.99
2017-10-13,259.99
2017-10-27,258.98
2017-11-02,259.99
2017-11-12,239.99
2017-11-13,259.97
2017-11-14,239.99
2017-11-19,259.99
2017-11-23,239.99
2017-11-24,259.99
2017-11-26,239.99
2017-11-27,259.99
2017-11-30,239.99
2017-12-06,259.99
2017-12-17,249.99
2018-01-06,264.99
2018-01-07,279.99
2018-01-10,299.99
2018-02-05,349.99
2018-02-08,359.99
2018-02-09,309.99
2018-02-10,359.99
2018-02-11,349.99
2018-02-25,359.99
2018-03-03,349.99
2018-03-05,359.99
2018-03-12,379.99
2018-03-16,359.99
2018-03-20,299.99
2018-03-21,359.99
2018-04-03,349.99
2018-04-04,359.99
2018-04-05,339.99
2018-04-08,329.99
2018-04-17,309.99
2018-04-21,329.99
2018-04-22,289.99
2018-05-02,309.99
2018-05-03,325.86
2018-05-04,309.99
2018-05-10,299.99
2018-05-14,295.82
2018-05-16,299.99
2018-05-22,295.82
2018-05-23,291.88
2018-05-24,295.99
2018-05-27,291.88
2018-05-29,297.99
2018-06-04,299.99
2018-06-05,291.88
2018-06-14,299.99
2018-06-16,284.99
2018-06-17,269.99
2018-06-19,284.67
2018-06-24,299.99
2018-06-28,269.99
2018-07-06,279.99
2018-07-18,289.99
2018-07-30,289.99
2018-08-03,279.99
2018-08-20,269.99
2018-09-16,259.99
2018-10-01,269.99
2018-10-03,269.99
2018-10-08,249.99
2018-11-09,254.99
2018-11-19,249.99
2018-11-21,229.99
2018-11-25,219.99
2018-11-28,229.99
2018-11-30,209.99
2018-12-05,229.99
2018-12-06,228.99
2018-12-08,229.99
2018-12-12,239.99
2018-12-13,229.99
2018-12-14,239.99
2018-12-15,228.99
2018-12-19,239.99
2018-12-23,228.99
2018-12-26,239.99
2018-12-27,229.99
2019-01-04,239.99
2019-01-23,269.99
2019-01-25,239.99
2019-01-31,234.99
2019-02-08,254.99
2019-02-27,259.99
2019-03-04,299.99
2019-03-14,269.99
2019-03-16,299.99
2019-04-15,279.99
2019-04-20,299.99
2019-07-14,289.99
2019-07-16,299.99
2019-09-05,249.99
2019-09-06,299.99
2019-10-20,229.99
2019-10-22,299.99
2019-10-25,293.76
2019-10-26,299.99
2020-03-13,199.1
2020-03-14,239.78
2020-03-17,228.22
2020-03-22,299.99
2020-04-04,298.06
2020-04-05,299.99
2020-09-18,274.04
2020-09-20,299.99
2021-05-14,629.98
2021-05-15,599.99
