date,price
2016-05-31,619.99
2016-06-02,967.99
2016-06-03,699.99
2016-06-12,749.99
2016-06-15,639.99
2016-06-18,638.99
2016-06-19,749.99
2016-06-23,699.99
2016-07-02,649.99
2016-07-04,699.99
2016-07-08,659.99
2016-07-10,699.99
2016-07-12,659.99
2016-07-14,649.99
2016-07-18,659.99
2016-07-25,629.99
2016-07-26,609.99
2016-07-27,629.99
2016-07-29,698.79
2016-07-30,629.99
2016-08-01,669.99
2016-08-05,649.99
2016-08-07,686.69
2016-08-11,649.99
2016-08-12,609.99
2016-08-13,649.99
2016-08-16,659.99
2016-08-19,649.99
2016-08-23,629.99
2016-09-07,629.99
2016-09-14,609.99
2016-10-02,609.99
2016-10-03,619.99
2016-10-06,609.99
2016-10-08,619.99
2016-10-11,609.99
2016-10-13,619.99
2016-10-15,609.99
2016-10-20,599.99
2016-11-13,594.99
2016-11-16,589.99
2016-11-17,599.99
2016-11-18,589.99
2016-11-24,569.99
2016-11-26,579.99
2016-11-27,569.99
2016-11-29,559.99
2016-12-18,579.99
2016-12-28,582.4
2016-12-30,569.99
2017-01-06,588.51
2017-01-09,579.99
2017-01-11,588.51
2017-01-13,579.99
2017-01-25,569.99
2017-01-29,579.99
2017-01-30,569.99
2017-02-05,559.99
2017-02-06,582.4
2017-02-08,559.99
2017-03-03,579.99
2017-03-04,549.99
2017-03-07,499.99
2017-03-26,499.99
2017-03-31,486.97
2017-04-10,499.99
2017-04-12,459.99
2017-04-20,499.99
2017-04-21,469.99
2017-04-27,497.97
2017-04-29,489.99
2017-04-30,494.99
2017-05-10,497.97
2017-05-11,474.99
2017-05-12,497.97
2017-05-13,479.99
2017-05-22,489.99
2017-05-23,499.99
2017-05-24,489.99
2017-05-25,499.99
2017-05-29,499.1
2017-06-01,499.99
2017-06-12,489.99
2017-06-14,479.99
2017-06-18,499.99
2017-06-20,424.99
2017-06-24,499.99
2017-07-03,539.99
2017-07-04,549.99
2017-07-05,536.04
2017-07-06,535.23
2017-07-07,518.1
2017-07-08,539.99
2017-07-12,509.99
2017-07-13,519.99
2017-07-15,539.99
2017-07-17,549.99
2017-07-18,499.99
2017-07-20,549.99
2017-07-22,499.99
2017-07-23,509.99
2017-07-28,549.99
2017-07-30,509.99
2017-08-10,499.99
2017-08-13,539.99
2017-08-16,499.99
2017-08-18,509.99
2017-08-27,499.99
2017-09-18,519.99
2017-09-19,529.99
2017-09-20,524.99
2017-09-22,519.99
2017-09-23,486.51
2017-09-25,519.99
2017-09-27,509.99
2017-09-28,519.99
2017-09-29,509.99
2017-10-03,499.99
2017-10-09,509.99
2017-10-11,499.99
2017-10-15,489.99
2017-10-19,499.99
2017-10-26,509.99
2017-11-03,489.99
2017-11-04,514.99
2017-11-05,509.99
2017-11-07,489.99
2017-11-14,509.99
2017-11-18,499.99
2017-12-02,509.99
2017-12-06,499.99
2017-12-12,509.99
2017-12-15,514.99
2017-12-16,509.99
2017-12-17,519.99
2018-01-06,529.99
2018-01-07,539.99
2018-01-08,549.99
2018-01-09,539.99
2018-01-10,649.99
2018-01-11,656.64
2018-01-12,699.99
2018-01-13,511.4
2018-01-14,699.99
2018-02-10,749.99
2018-02-11,629.99
2018-02-12,749.99
2018-02-16,779.99
2018-02-17,769.9
2018-02-19,768.48
2018-02-20,679.99
2018-02-21,767.49
2018-02-23,768.9
2018-02-24,659.99
2018-02-26,699.99
2018-02-27,609.99
2018-02-28,699.99
2018-03-08,669.99
2018-03-09,679.99
2018-03-10,699.99
2018-03-11,639.99
2018-03-13,669.99
2018-03-15,699.99
2018-03-16,679.99
2018-03-17,639.99
2018-03-20,669.99
2018-03-25,609.99
2018-03-28,599.99
2018-03-30,609.99
2018-04-05,599.99
2018-04-07,609.99
2018-04-08,619.99
2018-04-12,619.99
2018-04-15,599.99
2018-04-16,579.99
2018-04-18,629.99
2018-04-19,609.99
2018-04-20,599.99
2018-04-26,609.99
2018-04-27,599.99
2018-05-07,579.99
2018-05-08,549.99
2018-05-09,569.99
2018-05-18,549.99
2018-05-23,549.99
2018-05-24,548.98
2018-06-01,499.99
2018-06-02,549.99
2018-06-05,549.49
2018-06-06,549.99
2018-06-12,529.99
2018-06-15,529.11
2018-06-17,529.99
2018-06-20,499.99
2018-06-25,479.99
2018-06-26,499.99
2018-07-14,489.99
2018-07-15,479.99
2018-07-21,489.99
2018-07-22,499.99
2018-07-24,489.99
2018-08-01,469.99
2018-08-03,459.99
2018-08-06,429.99
2018-08-07,449.99
2018-08-12,469.99
2018-08-15,449.99
2018-08-20,429.99
2018-08-24,439.99
2018-08-27,449.99
2018-09-03,429.99
2018-09-10,459.99
2018-09-15,469.99
2018-09-28,449.99
2018-10-01,459.99
2018-10-03,469.99
2018-10-11,429.99
2018-10-14,439.99
2018-10-17,469.99
2018-10-18,434.99
2018-10-28,439.99
2018-11-04,429.99
2018-11-10,439.99
2018-11-15,449.99
2018-11-21,439.99
2018-11-25,459.99
2018-12-03,569.99
2018-12-08,579.99
2018-12-13,569.99
2018-12-14,579.99
2018-12-18,569.99
2018-12-22,579.99
2019-01-04,549.99
2019-01-13,519.99
2019-02-14,549.99
2019-02-15,519.99
2019-02-17,549.99
2019-07-26,532.67
2019-07-29,549.99
2019-08-31,349.99
2019-12-30,514.99
2020-03-14,399.95
2020-03-16,299.95
2020-03-21,514.99
2020-04-07,499.53
2020-04-08,474.55
2020-04-09,450.82
2020-04-10,436.75
2020-04-11,414.91
2020-04-12,394.16
2020-04-13,374.45
2020-04-15,355.73
2020-04-23,514.99
2020-09-23,349.99
2021-05-14,799.99
2021-05-16,804.47
2021-05-17,799.99
2021-05-21,899.99
2021-05-25,899.99
