date,price
2019-04-28,149.99
2019-08-21,139.99
2019-08-24,149.99
2019-08-28,124.99
2019-08-29,149.99
2019-09-13,159.99
2019-09-23,154.99
2019-09-25,149.99
2019-09-30,159.99
2019-10-02,149.99
2019-10-07,159.99
2019-10-16,149.99
2019-10-20,154.99
2019-10-21,149.99
2019-10-29,154.99
2019-11-01,149.99
2019-11-19,154.99
2019-11-20,149.99
2019-11-30,159.99
2019-12-06,149.99
2019-12-11,159.99
2019-12-12,149.99
2019-12-17,169.99
2019-12-18,149.99
2019-12-19,159.99
2019-12-20,149.99
2019-12-31,154.99
2020-01-03,149.99
2020-01-04,154.99
2020-01-14,149.99
2020-01-16,154.99
2020-02-04,149.99
2020-03-10,144.95
2020-03-13,137.99
2020-03-16,139.99
2020-03-26,139.99
2020-04-01,147.99
2020-04-03,144.99
2020-04-05,147.99
2020-04-08,144.99
2020-04-09,147.99
2020-04-10,144.99
2020-04-13,147.99
2020-04-14,139.99
2020-04-15,144.99
2020-04-17,147.99
2020-04-19,144.99
2020-04-20,150.99
2020-04-21,149.99
2020-04-23,147.99
2020-04-26,149.99
2020-04-27,134.99
2020-04-30,159.99
2020-05-01,149.99
2020-05-07,154.99
2020-05-08,149.99
2020-05-11,139.99
2020-05-12,134.99
2020-05-13,149.99
2020-05-14,134.99
2020-05-15,139.99
2020-05-16,154.99
2020-05-17,149.99
2020-05-18,160.99
2020-05-19,159.99
2020-05-20,134.99
2020-05-21,149.99
2020-05-22,134.99
2020-05-23,149.99
2020-05-25,154.99
2020-05-27,139.99
2020-05-31,154.99
2020-06-02,144.99
2020-06-06,149.99
2020-06-14,139.99
2020-06-22,144.99
2020-06-23,149.99
2020-06-25,149.99
2020-07-02,154.99
2020-07-03,154.99
2020-07-04,158.27
2020-07-06,149.99
2020-07-09,144.99
2020-07-14,130.99
2020-07-15,149.99
2020-07-17,119.99
2020-07-18,130.99
2020-07-19,149.99
2020-07-20,149.99
2020-07-21,119.99
2020-07-22,149.99
2020-07-25,119.99
2020-07-26,130.99
2020-07-27,149.99
2020-07-29,130.99
2020-08-03,149.99
2020-08-05,139.99
2020-08-25,144.99
2020-08-26,149.99
2020-08-27,144.99
2020-08-28,139.99
2020-08-30,149.99
2020-08-31,139.99
2020-09-16,144.99
2020-09-20,149.99
2020-09-21,139.99
2020-09-27,149.99
2020-09-29,144.99
2020-09-30,149.99
2020-10-08,139.97
2020-10-09,149.99
2020-10-11,144.99
2020-10-14,149.99
2020-10-31,159.99
2020-11-01,149.99
2020-11-02,119.99
2020-11-03,159.99
2020-11-05,149.99
2020-11-06,159.99
2020-11-08,139.99
2020-11-10,154.99
2020-11-11,159.99
2020-11-12,149.99
2020-11-15,154.99
2020-11-16,139.99
2020-11-21,129.99
2020-11-22,139.99
2020-11-30,159.99
2020-12-04,154.17
2020-12-05,159.99
2020-12-16,149.99
2020-12-19,151.9
2020-12-20,159.99
2020-12-21,139.99
2021-01-01,149.99
2021-01-05,174.99
2021-01-19,159.99
2021-01-20,139.99
2021-04-02,159.99
2021-04-03,139.99
2021-05-13,139.99
2021-05-20,159.99
2021-05-22,139.99
2021-05-25,359.99
2021-05-28,358.89
2021-06-06,339.99
2021-06-10,331.36
2021-06-11,322.93
2021-06-12,326.71
2021-06-13,319.99
2021-06-15,312.44
2021-06-17,317.29
2021-06-18,319.99
2021-07-03,299.99
2021-07-29,289.99
2021-07-30,339.99
2021-08-01,289.99
2021-08-06,339.99
2021-08-07,286.7
2021-08-09,284.47
2021-08-10,289.99
2021-08-28,349.99
2021-09-03,219.99
2021-09-05,150.66
2021-09-06,153.55
2021-09-09,359.99
2021-11-20,329.16
2021-11-21,323.06
2021-11-22,320.06
2021-12-17,359.45
2021-12-18,359.41
2021-12-19,359.37
2021-12-21,354.99
2021-12-22,344.99
2021-12-24,339.99
2022-01-30,319.99
2022-02-13,334.99
2022-02-14,309.99
2022-02-21,239.99
2022-02-22,299.28
2022-02-23,299.36
2022-02-24,219.99
2022-02-25,239.99
2022-02-26,309.99
2022-02-27,239.99
2022-03-01,309.99
2022-03-16,209.99
2022-03-19,249.99
2022-03-20,209.99
2022-03-21,249.99
2022-03-22,209.99
2022-03-24,239.99
2022-03-25,229.99
2022-03-26,209.99
2022-03-27,219.99
2022-03-30,219.99
2022-04-01,203.3
2022-04-02,219.99
2022-04-03,239.99
2022-04-04,219.99
2022-04-08,239.99
2022-04-10,219.99
2022-04-12,209.99
2022-04-15,199.99
2022-04-21,209.99
2022-05-08,202.99
2022-05-12,199.09
2022-05-13,199.18
2022-05-14,199.73
2022-05-15,202.99
2022-05-18,200.83
2022-05-19,202.99
2022-05-24,209.99
2022-05-26,209.85
2022-05-27,208.61
2022-05-28,209.85
2022-05-29,172.69
2022-05-30,199.99
2022-06-01,208.61
2022-06-06,209.99
2022-06-08,208.99
2022-06-12,200.95
