date,price
2019-09-13,399.99
2019-11-07,389.99
2019-12-03,399.99
2019-12-06,409.99
2019-12-12,399.99
2020-02-02,386.99
2020-02-08,399.99
2020-02-09,398.68
2020-03-07,399.99
2020-03-16,397.99
2020-03-17,375.33
2020-03-19,389.99
2020-04-10,397.99
2020-04-20,399.99
2020-04-25,389.99
2020-04-26,399.99
2020-04-27,409.99
2020-04-29,399.99
2020-04-30,359.99
2020-05-01,409.99
2020-05-02,359.99
2020-05-06,409.99
2020-05-07,399.99
2020-05-08,409.99
2020-05-09,399.99
2020-05-10,409.99
2020-05-14,399.99
2020-05-18,389.99
2020-05-20,399.99
2020-05-22,389.99
2020-05-29,369.99
2020-05-31,399.99
2020-06-02,409.99
2020-06-04,399.99
2020-07-11,387.98
2020-07-14,399.99
2020-07-15,387.98
2020-07-19,399.99
2020-07-21,369.99
2020-07-24,399.99
2020-07-28,397.99
2020-08-05,409.99
2020-08-18,359.99
2020-08-21,409.99
2020-08-25,409.99
2020-08-26,399.99
2020-08-27,409.99
2020-08-28,359.99
2020-08-29,409.99
2020-08-31,399.99
2020-09-04,397.98
2020-09-24,409.37
2020-09-25,399.99
2020-09-26,397.98
2020-09-29,399.99
2020-09-30,397.98
2020-10-09,399.99
2020-10-13,414.99
2020-10-16,413.64
2020-10-20,399.99
2020-10-24,414.98
2020-10-25,339.99
2020-11-03,414.98
2020-11-05,399.99
2020-11-12,419.99
2020-11-14,399.99
2020-11-19,419.99
2020-11-21,399.99
2020-11-27,408.11
2020-12-18,419.99
2020-12-19,429.99
2020-12-20,419.99
2020-12-21,429.99
2021-05-13,419.99
2021-05-20,429.99
2021-05-21,419.99
2021-05-25,429.99
2021-05-26,1099.99
2021-06-06,999.99
2021-06-07,766.99
2021-06-10,934.97
2021-06-14,924.97
2021-07-03,759.99
