Product,Timestamp,Dealnumber
Opporeno,2019-07-24,451.0
Opporeno,2019-07-24,1700.0
Opporeno,2019-07-25,8297.0
Opporeno,2019-07-25,454.0
Opporeno,2019-07-25,1691.0
Opporeno,2019-07-26,8456.0
Opporeno,2019-07-26,457.0
Opporeno,2019-07-26,1705.0
Opporeno,2019-07-27,8590.0
Opporeno,2019-07-27,457.0
Opporeno,2019-07-27,1720.0
Opporeno,2019-08-02,8485.0
Opporeno,2019-08-02,417.0
Opporeno,2019-08-02,1514.0
Opporeno,2019-08-03,8487.0
Opporeno,2019-08-03,410.0
Opporeno,2019-08-03,1523.0
Opporeno,2019-08-04,8621.0
Opporeno,2019-08-04,412.0
Opporeno,2019-08-04,1483.0
Opporeno,2019-08-05,8731.0
Opporeno,2019-08-05,404.0
Opporeno,2019-08-05,1473.0
Opporeno,2019-08-06,8782.0
Opporeno,2019-08-06,400.0
Opporeno,2019-08-06,1468.0
Opporeno,2019-08-07,8835.0
Opporeno,2019-08-07,401.0
Opporeno,2019-08-07,1484.0
Opporeno,2019-08-08,8777.0
Opporeno,2019-08-08,390.0
Opporeno,2019-08-08,1510.0
Opporeno,2019-08-09,8818.0
Opporeno,2019-08-09,387.0
Opporeno,2019-08-09,1589.0
Opporeno,2019-08-10,8765.0
Opporeno,2019-08-10,370.0
Opporeno,2019-08-10,1635.0
Opporeno,2019-08-11,8736.0
Opporeno,2019-08-11,358.0
Opporeno,2019-08-11,1676.0
Opporeno,2019-08-12,8701.0
Opporeno,2019-08-12,345.0
Opporeno,2019-08-12,1703.0
Opporeno,2019-08-14,8541.0
Opporeno,2019-08-14,337.0
Opporeno,2019-08-14,1723.0
Opporeno,2019-08-15,8508.0
Opporeno,2019-08-15,334.0
Opporeno,2019-08-15,1761.0
Opporeno,2019-08-16,8470.0
Opporeno,2019-08-16,323.0
Opporeno,2019-08-16,1778.0
Opporeno,2019-08-17,8488.0
Opporeno,2019-08-17,320.0
Opporeno,2019-08-17,1782.0
Opporeno,2019-08-18,8446.0
Opporeno,2019-08-18,316.0
Opporeno,2019-08-18,1804.0
Opporeno,2019-08-19,8400.0
Opporeno,2019-08-19,314.0
Opporeno,2019-08-19,1842.0
Opporeno,2019-08-20,8307.0
Opporeno,2019-08-20,300.0
Opporeno,2019-08-20,1856.0
Opporeno,2019-08-21,8239.0
Opporeno,2019-08-21,292.0
Opporeno,2019-08-21,1892.0
Opporeno,2019-08-22,8208.0
Opporeno,2019-08-22,290.0
Opporeno,2019-08-22,1916.0
Opporeno,2019-08-23,8170.0
Opporeno,2019-08-23,289.0
Opporeno,2019-08-23,1967.0
Opporeno,2019-08-24,8127.0
Opporeno,2019-08-24,283.0
Opporeno,2019-08-24,2009.0
Opporeno,2019-08-26,7987.0
Opporeno,2019-08-26,277.0
Opporeno,2019-08-26,2018.0
Opporeno,2019-08-27,7910.0
Opporeno,2019-08-27,270.0
Opporeno,2019-08-27,2010.0
Opporeno,2019-08-28,7935.0
Opporeno,2019-08-28,266.0
Opporeno,2019-08-28,2009.0
Opporeno,2019-08-29,7856.0
Opporeno,2019-08-29,271.0
Opporeno,2019-08-29,2050.0
Opporeno,2019-08-30,7805.0
Opporeno,2019-08-30,277.0
Opporeno,2019-08-30,2139.0
Opporeno,2019-09-03,7489.0
Opporeno,2019-09-03,263.0
Opporeno,2019-09-03,2237.0
Opporeno,2019-09-04,7285.0
Opporeno,2019-09-04,261.0
