Product,Timestamp,Dealprice
三星-Note10,2021-03-09,4699.0
三星-Note10-5G,2021-03-09,5799.0
華為-Mate30,2021-03-08,3999.0
華為-Mate30-5G,2021-03-08,4989.0
華為-Mat30Pro,2021-03-08,5299.0
華為-Mat30Pro-5G,2021-03-08,6399.0
Vivo-Nex3,2021-03-08,3998.0
Vivo-Nex3-5G,2021-03-08,3996.0
三星-Note10,2021-03-08,4699.0
三星-Note10-5G,2021-03-08,5799.0
華為-Mate30,2021-03-07,3999.0
華為-Mate30-5G,2021-03-07,4989.0
華為-Mat30Pro,2021-03-07,5299.0
華為-Mat30Pro-5G,2021-03-07,6399.0
Vivo-Nex3,2021-03-07,3998.0
Vivo-Nex3-5G,2021-03-07,3996.0
三星-Note10,2021-03-07,4699.0
三星-Note10-5G,2021-03-07,5799.0
華為-Mate30,2021-03-05,3999.0
華為-Mate30-5G,2021-03-05,4989.0
華為-Mat30Pro,2021-03-05,5299.0
華為-Mat30Pro-5G,2021-03-05,6399.0
Vivo-Nex3,2021-03-05,3998.0
Vivo-Nex3-5G,2021-03-05,3996.0
三星-Note10,2021-03-05,4699.0
三星-Note10-5G,2021-03-05,5799.0
華為-Mate30,2021-03-04,3999.0
華為-Mate30-5G,2021-03-04,4989.0
華為-Mat30Pro,2021-03-04,5299.0
華為-Mat30Pro-5G,2021-03-04,6399.0
Vivo-Nex3,2021-03-04,3998.0
Vivo-Nex3-5G,2021-03-04,3996.0
三星-Note10,2021-03-04,4699.0
三星-Note10-5G,2021-03-04,5799.0
華為-Mate30,2021-03-03,3999.0
華為-Mate30-5G,2021-03-03,4989.0
華為-Mat30Pro,2021-03-03,5299.0
華為-Mat30Pro-5G,2021-03-03,6399.0
Vivo-Nex3,2021-03-03,3998.0
Vivo-Nex3-5G,2021-03-03,3996.0
三星-Note10,2021-03-03,4699.0
三星-Note10-5G,2021-03-03,5799.0
華為-Mate30,2021-03-02,3999.0
華為-Mate30-5G,2021-03-02,4989.0
華為-Mat30Pro,2021-03-02,5299.0
華為-Mat30Pro-5G,2021-03-02,6399.0
Vivo-Nex3,2021-03-02,3998.0
Vivo-Nex3-5G,2021-03-02,3996.0
三星-Note10,2021-03-02,4699.0
三星-Note10-5G,2021-03-02,5799.0
華為-Mate30,2021-03-01,3999.0
華為-Mate30-5G,2021-03-01,4989.0
華為-Mat30Pro,2021-03-01,5299.0
華為-Mat30Pro-5G,2021-03-01,6399.0
Vivo-Nex3,2021-03-01,3998.0
Vivo-Nex3-5G,2021-03-01,3996.0
三星-Note10,2021-03-01,4699.0
三星-Note10-5G,2021-03-01,5799.0
華為-Mate30,2021-02-28,3999.0
華為-Mate30-5G,2021-02-28,4989.0
華為-Mat30Pro,2021-02-28,5299.0
華為-Mat30Pro-5G,2021-02-28,6399.0
Vivo-Nex3,2021-02-28,3998.0
Vivo-Nex3-5G,2021-02-28,3996.0
三星-Note10,2021-02-28,4699.0
三星-Note10-5G,2021-02-28,5799.0
華為-Mate30,2021-02-27,3999.0
華為-Mate30-5G,2021-02-27,4989.0
華為-Mat30Pro,2021-02-27,5299.0
華為-Mat30Pro-5G,2021-02-27,6399.0
Vivo-Nex3,2021-02-27,3998.0
Vivo-Nex3-5G,2021-02-27,3996.0
三星-Note10,2021-02-27,4699.0
三星-Note10-5G,2021-02-27,5799.0
華為-Mate30,2021-02-26,3999.0
華為-Mate30-5G,2021-02-26,4989.0
華為-Mat30Pro,2021-02-26,5299.0
華為-Mat30Pro-5G,2021-02-26,6399.0
Vivo-Nex3,2021-02-26,3998.0
Vivo-Nex3-5G,2021-02-26,3996.0
三星-Note10,2021-02-26,4699.0
三星-Note10-5G,2021-02-26,5799.0
華為-Mate30,2021-02-25,3999.0
華為-Mate30-5G,2021-02-25,4989.0
華為-Mat30Pro,2021-02-25,5299.0
華為-Mat30Pro-5G,2021-02-25,6399.0
Vivo-Nex3,2021-02-25,3998.0
Vivo-Nex3-5G,2021-02-25,3996.0
三星-Note10,2021-02-25,4699.0
三星-Note10-5G,2021-02-25,5799.0
華為-Mate30,2021-02-24,3999.0
華為-Mate30-5G,2021-02-24,4989.0
華為-Mat30Pro,2021-02-24,5299.0
華為-Mat30Pro-5G,2021-02-24,6399.0
Vivo-Nex3,2021-02-24,3998.0
Vivo-Nex3-5G,2021-02-24,3996.0
三星-Note10,2021-02-24,4699.0
三星-Note10-5G,2021-02-24,5799.0
華為-Mate30,2021-02-23,3999.0
華為-Mate30-5G,2021-02-23,4989.0
華為-Mat30Pro,2021-02-23,5299.0
華為-Mat30Pro-5G,2021-02-23,6399.0
Vivo-Nex3,2021-02-23,3998.0
Vivo-Nex3-5G,2021-02-23,3996.0
三星-Note10,2021-02-23,4699.0
三星-Note10-5G,2021-02-23,5799.0
華為-Mate30,2021-02-22,3999.0
華為-Mate30-5G,2021-02-22,4989.0
華為-Mat30Pro,2021-02-22,5299.0
華為-Mat30Pro-5G,2021-02-22,6399.0
Vivo-Nex3,2021-02-22,3998.0
Vivo-Nex3-5G,2021-02-22,3996.0
三星-Note10,2021-02-22,4699.0
三星-Note10-5G,2021-02-22,5799.0
華為-Mate30,2021-02-21,3999.0
華為-Mate30-5G,2021-02-21,4989.0
華為-Mat30Pro,2021-02-21,5299.0
華為-Mat30Pro-5G,2021-02-21,6399.0
Vivo-Nex3,2021-02-21,3998.0
Vivo-Nex3-5G,2021-02-21,3996.0
三星-Note10,2021-02-21,4699.0
三星-Note10-5G,2021-02-21,5799.0
華為-Mate30,2021-02-20,3999.0
華為-Mate30-5G,2021-02-20,4989.0
華為-Mat30Pro,2021-02-20,5299.0
華為-Mat30Pro-5G,2021-02-20,6399.0
Vivo-Nex3,2021-02-20,3998.0
Vivo-Nex3-5G,2021-02-20,3996.0
三星-Note10,2021-02-20,4699.0
三星-Note10-5G,2021-02-20,5799.0
華為-Mate30,2021-02-19,3999.0
華為-Mate30-5G,2021-02-19,4989.0
華為-Mat30Pro,2021-02-19,5299.0
華為-Mat30Pro-5G,2021-02-19,6399.0
Vivo-Nex3,2021-02-19,3998.0
Vivo-Nex3-5G,2021-02-19,3996.0
三星-Note10,2021-02-19,4699.0
三星-Note10-5G,2021-02-19,5799.0
華為-Mate30,2021-02-18,3999.0
華為-Mate30-5G,2021-02-18,4989.0
華為-Mat30Pro,2021-02-18,5299.0
華為-Mat30Pro-5G,2021-02-18,6399.0
Vivo-Nex3,2021-02-18,3998.0
Vivo-Nex3-5G,2021-02-18,3996.0
三星-Note10,2021-02-18,4699.0
三星-Note10-5G,2021-02-18,5799.0
華為-Mate30,2021-02-17,3999.0
華為-Mate30-5G,2021-02-17,4989.0
華為-Mat30Pro,2021-02-17,5299.0
華為-Mat30Pro-5G,2021-02-17,6399.0
Vivo-Nex3,2021-02-17,3998.0
Vivo-Nex3-5G,2021-02-17,3996.0
三星-Note10,2021-02-17,4699.0
三星-Note10-5G,2021-02-17,5799.0
華為-Mate30,2021-02-16,3999.0
華為-Mate30-5G,2021-02-16,4989.0
華為-Mat30Pro,2021-02-16,5299.0
華為-Mat30Pro-5G,2021-02-16,6399.0
Vivo-Nex3,2021-02-16,3998.0
Vivo-Nex3-5G,2021-02-16,3996.0
三星-Note10,2021-02-16,4699.0
三星-Note10-5G,2021-02-16,5799.0
華為-Mate30,2021-02-15,3999.0
華為-Mate30-5G,2021-02-15,4989.0
華為-Mat30Pro,2021-02-15,5299.0
華為-Mat30Pro-5G,2021-02-15,6399.0
Vivo-Nex3,2021-02-15,3998.0
Vivo-Nex3-5G,2021-02-15,3996.0
三星-Note10,2021-02-15,4699.0
三星-Note10-5G,2021-02-15,5799.0
華為-Mate30,2021-02-14,3999.0
華為-Mate30-5G,2021-02-14,4989.0
