Product,Shopname,Dealprice,Dealnumber,Timestamp
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-16
Vivo-Nex3,Vivo官方旗艦店,4498,1829,2020-01-16
華為-Mate30,華為官方旗艦店,4299,87000,2020-01-16
華為-Mate30Pro,華為官方旗艦店,5799,79000,2020-01-16
三星-Note10,三星官方旗艦店,6299,1468,2020-01-16
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-16
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1604,2020-01-16
Vivo-Nex3,蘇寧易購官方旗艦店,4498,476,2020-01-16
華為-Mate30,蘇寧易購官方旗艦店,3999,12000,2020-01-16
三星-Note10,蘇寧易購官方旗艦店,6599,280,2020-01-16
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1372,2020-01-16
華為-Mate30,三際數碼官方旗艦店,3999,1962,2020-01-16
華為-Mate30Pro,三際數碼官方旗艦店,6998,1826,2020-01-16
三星-Note10,三際數碼官方旗艦店,6599,24,2020-01-16
三星-Note10-5G,三際數碼官方旗艦店,7999,519,2020-01-16
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-15
Vivo-Nex3,Vivo官方旗艦店,4498,1826,2020-01-15
華為-Mate30,華為官方旗艦店,4299,87000,2020-01-15
華為-Mate30Pro,華為官方旗艦店,5799,79000,2020-01-15
三星-Note10,三星官方旗艦店,6299,1452,2020-01-15
三星-Note10-5G,三星官方旗艦店,0,0,2020-01-15
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1596,2020-01-15
Vivo-Nex3,蘇寧易購官方旗艦店,4498,470,2020-01-15
華為-Mate30,蘇寧易購官方旗艦店,3999,12000,2020-01-15
三星-Note10,蘇寧易購官方旗艦店,6599,280,2020-01-15
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1327,2020-01-15
華為-Mate30,三際數碼官方旗艦店,3999,1949,2020-01-15
華為-Mate30Pro,三際數碼官方旗艦店,6899,1802,2020-01-15
三星-Note10,三際數碼官方旗艦店,6599,24,2020-01-15
三星-Note10-5G,三際數碼官方旗艦店,7999,506,2020-01-15
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-14
Vivo-Nex3,Vivo官方旗艦店,4498,1823,2020-01-14
華為-Mate30,華為官方旗艦店,4299,86000,2020-01-14
華為-Mate30Pro,華為官方旗艦店,5799,79000,2020-01-14
三星-Note10,三星官方旗艦店,6299,1448,2020-01-14
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-14
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1587,2020-01-14
Vivo-Nex3,蘇寧易購官方旗艦店,4498,468,2020-01-14
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-14
三星-Note10,蘇寧易購官方旗艦店,6599,277,2020-01-14
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1316,2020-01-14
華為-Mate30,三際數碼官方旗艦店,4498,1941,2020-01-14
華為-Mate30Pro,三際數碼官方旗艦店,6899,1787,2020-01-14
三星-Note10,三際數碼官方旗艦店,6599,25,2020-01-14
三星-Note10-5G,三際數碼官方旗艦店,7999,483,2020-01-14
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-13
Vivo-Nex3,Vivo官方旗艦店,4498,1817,2020-01-13
華為-Mate30,華為官方旗艦店,4299,86000,2020-01-13
華為-Mate30Pro,華為官方旗艦店,6299,79000,2020-01-13
三星-Note10,三星官方旗艦店,6299,1442,2020-01-13
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-13
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1572,2020-01-13
Vivo-Nex3,蘇寧易購官方旗艦店,4498,461,2020-01-13
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-13
三星-Note10,蘇寧易購官方旗艦店,6599,275,2020-01-13
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1309,2020-01-13
華為-Mate30,三際數碼官方旗艦店,4498,1938,2020-01-13
華為-Mate30Pro,三際數碼官方旗艦店,6899,1778,2020-01-13
三星-Note10,三際數碼官方旗艦店,6599,24,2020-01-13
三星-Note10-5G,三際數碼官方旗艦店,7999,466,2020-01-13
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-12
Vivo-Nex3,Vivo官方旗艦店,4498,1809,2020-01-12
華為-Mate30,華為官方旗艦店,4299,85000,2020-01-12
華為-Mate30Pro,華為官方旗艦店,5799,79000,2020-01-12
三星-Note10,三星官方旗艦店,6299,1431,2020-01-12
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-12
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1546,2020-01-12
Vivo-Nex3,蘇寧易購官方旗艦店,4498,448,2020-01-12
華為-Mate30,蘇寧易購官方旗艦店,3999,11000,2020-01-12
三星-Note10,蘇寧易購官方旗艦店,6599,272,2020-01-12
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1305,2020-01-12
華為-Mate30,三際數碼官方旗艦店,4498,1927,2020-01-12
華為-Mate30Pro,三際數碼官方旗艦店,6899,1759,2020-01-12
三星-Note10,三際數碼官方旗艦店,6599,24,2020-01-12
三星-Note10-5G,三際數碼官方旗艦店,7999,455,2020-01-12
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-11
Vivo-Nex3,Vivo官方旗艦店,4498,1809,2020-01-11
華為-Mate30,華為官方旗艦店,4299,85000,2020-01-11
華為-Mate30Pro,華為官方旗艦店,5799,79000,2020-01-11
三星-Note10,三星官方旗艦店,6299,1431,2020-01-11
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-11
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1547,2020-01-11
Vivo-Nex3,蘇寧易購官方旗艦店,4498,448,2020-01-11
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-11
三星-Note10,蘇寧易購官方旗艦店,6599,272,2020-01-11
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1305,2020-01-11
華為-Mate30,三際數碼官方旗艦店,4498,1927,2020-01-11
華為-Mate30Pro,三際數碼官方旗艦店,6899,1759,2020-01-11
三星-Note10,三際數碼官方旗艦店,6599,22,2020-01-11
三星-Note10-5G,三際數碼官方旗艦店,7999,455,2020-01-11
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-10
Vivo-Nex3,Vivo官方旗艦店,4498,1802,2020-01-10
華為-Mate30,華為官方旗艦店,4299,84000,2020-01-10
華為-Mate30Pro,華為官方旗艦店,5799,78000,2020-01-10
三星-Note10,三星官方旗艦店,6299,1407,2020-01-10
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-10
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1528,2020-01-10
Vivo-Nex3,蘇寧易購官方旗艦店,4498,437,2020-01-10
華為-Mate30,蘇寧易購官方旗艦店,3999,11000,2020-01-10
三星-Note10,蘇寧易購官方旗艦店,6599,267,2020-01-10
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1270,2020-01-10
華為-Mate30,三際數碼官方旗艦店,4498,1884,2020-01-10
華為-Mate30Pro,三際數碼官方旗艦店,6899,1730,2020-01-10
三星-Note10,三際數碼官方旗艦店,6599,22,2020-01-10
三星-Note10-5G,三際數碼官方旗艦店,7999,443,2020-01-10
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-09
Vivo-Nex3,Vivo官方旗艦店,4498,1792,2020-01-09
華為-Mate30,華為官方旗艦店,4299,83000,2020-01-09
華為-Mate30Pro,華為官方旗艦店,5799,78000,2020-01-09
三星-Note10,三星官方旗艦店,6399,1392,2020-01-09
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-09
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1520,2020-01-09
Vivo-Nex3,蘇寧易購官方旗艦店,4498,429,2020-01-09
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-09
三星-Note10,蘇寧易購官方旗艦店,6599,267,2020-01-09
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1226,2020-01-09
華為-Mate30,三際數碼官方旗艦店,4498,1859,2020-01-09
華為-Mate30Pro,三際數碼官方旗艦店,6899,1720,2020-01-09
三星-Note10,三際數碼官方旗艦店,6599,22,2020-01-09
三星-Note10-5G,三際數碼官方旗艦店,7999,434,2020-01-09
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-08
Vivo-Nex3,Vivo官方旗艦店,4498,1789,2020-01-08
華為-Mate30,華為官方旗艦店,4299,82000,2020-01-08
華為-Mate30Pro,華為官方旗艦店,6299,78000,2020-01-08
三星-Note10,三星官方旗艦店,6399,1376,2020-01-08
