timestamp,regularPrice_laptop,salePricelaptop,item_laptop,orderable_laptop,onSale_laptop,sale_start_date
2021-06-08,199.0,199.0,"Lenovo - Chromebook 3 11"" Chromebook - AMD A6 - 4GB Memory - 32GB eMMC Flash Memory - Onyx Black",Available,False,2020-09-23
2021-06-08,279.0,223.99,"Lenovo - Chromebook Flex 3 11"" MTK 2-in-1 11.6"" Touch Screen Chromebook - MediaTek MT8173C - 4GB Memory - 32GB eMMC Flash Memory - Platinum Grey",SoldOut,True,2020-10-04
2021-06-08,869.99,869.99,"Dell - Latitude 3410 14"" Laptop - i5-10210U - 8GB Memory - Intel UHD Graphics - 256GB Solid State Drive",Available,False,2020-12-24
2021-06-08,746.99,746.99,"Dell - Latitude 3000 15.6"" Laptop - Intel Core i5 - 4 GB Memory - 500 GB HDD - Gray",Available,False,2020-12-24
2021-06-08,859.99,859.99,"Dell - Latitude 3510 15.6"" Notebook - Intel Core i5 10210U - 8 GB RAM - Intel UHD - 256 GB SSD",Available,False,2021-01-26
2021-06-08,949.99,949.99,"Dell - Latitude 3000 14"" Laptop - Intel Core i5 - 8 GB Memory - 256 GB SSD - Gray",Available,False,2020-12-24
2021-06-08,969.99,969.99,"Lenovo - 15.6"" ThinkPad L15 Gen 1 Laptop - 8GB Memory - Intel Core i5 - 256GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,746.99,746.99,"Dell - Latitude 3000 15.6"" Laptop - Intel Core i5 - 8 GB Memory - 500 GB HDD - Gray",Available,False,2020-12-24
2021-06-08,2099.99,2099.99,"Dell - Latitude 7000 14"" Laptop - Intel Core i7 - 16 GB Memory - 512 GB SSD - Aluminum Titan Gray",SoldOut,False,2021-01-26
2021-06-08,1349.99,1349.99,"Dell - Latitude 5000 15.6"" Laptop - Intel Core i5 - 8 GB Memory - 256 GB SSD - Gray",Available,False,2020-12-24
2021-06-08,616.99,616.99,"Dell - Latitude 3000 15.6"" Laptop - Intel Core i3 - 4 GB Memory - 500 GB HDD - Gray",Available,False,2020-12-24
2021-06-08,464.0,464.0,HP - ProBook x360 11 G5 EE Notebook - 4 GB Memory - 64 GB eMMC Storage,Available,False,2021-01-20
2021-06-08,799.99,799.99,"ASUS - Chromebook Flip C436 14"" 2-in-1 Touchscreen FHD Laptop - Intel Core i3-10110U 8GB 128GB Magnesium-Alloy - Silver",Available,False,2020-09-18
2021-06-08,299.99,299.99,"Acer Aspire 3 15.6"" Notebook AMD 3020e 4GB 128GB - Charcoal Black",Available,False,2020-07-27
2021-06-08,379.99,379.99,"ASUS - 15.6"" Laptop AMD Athlon Silver 3050U 8GB 1TB - Slate Grey",SoldOut,False,2020-07-27
2021-06-08,969.0,969.0,"Lenovo - 14"" ThinkBook 14 IIL Laptop - 16GB Memory - Intel Core i7 - 512GB Hard Drive",Available,False,2020-08-26
2021-06-08,859.0,859.0,"Lenovo - 13.3"" ThinkPad L13 Laptop, Silver",Available,False,2020-11-16
2021-06-08,1009.99,1009.99,"Dell - Latitude 3000 3510 15.6"" Notebook Full HD - Intel(10th Gen) i7-10510U Quad-core - 8 GB RAM - Intel UHD - 256 GB SSD",Available,False,2021-01-26
2021-06-08,919.99,919.99,"Lenovo - 14"" ThinkPad L14 Gen 1 Laptop - 8GB Memory - AMD Ryzen 5 PRO - 256GB Hard Drive",Available,False,2020-08-26
2021-06-08,1769.0,1769.0,HP - EliteBook 840 G7 Notebook - 16 GB Memory - 512 GB SSD,SoldOut,False,2021-01-20
2021-06-08,1769.0,1769.0,HP - EliteBook 850 G7 Notebook - 16 GB Memory - 512 GB SSD,SoldOut,False,2021-01-20
2021-06-08,2095.99,2095.99,"Dell - Latitude 5000 15.6"" Laptop - Intel Core i7 - 16 GB Memory - 512 GB SSD - Gray",SoldOut,False,2020-12-24
2021-06-08,249.0,249.0,"ASUS - 14.0"" Chromebook - Intel Celeron N3350 - 4GB Memory  - 32GB eMMC - Grey",Available,False,2020-08-16
2021-06-08,299.99,299.99,"ASUS - 14.0"" Laptop - Intel Celeron N4020 - 4GB Memory - 128GB eMMC - Blue",Available,False,2020-11-18
2021-06-08,219.99,219.99,"HP - 14"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC - Snowflake white",Available,False,2020-09-06
2021-06-08,1659.0,1659.0,"Lenovo - 15.6"" ThinkPad P15s Gen 1 Laptop, Black",Available,False,2020-11-16
2021-06-08,799.99,799.99,"ASUS - Vivobook 17.3"" Laptop - AMD Ryzen 7 - 12GB Memory - AMD Radeon Vega 10 - 512GB SSD - Silver",Available,False,2020-11-17
2021-06-08,1729.99,1529.99,"Lenovo - Yoga 9i 14 2-in-1 14"" Touch-Screen Laptop - Intel Evo Platform Core i7 - 16GB Memory - 512GB SSD - Shadow Black",Available,True,2020-10-14
2021-06-08,799.99,799.99,"Lenovo - IdeaPad S340 15"" Touch-Screen Laptop - AMD Ryzen 7 3700U - 12GB Memory - 512GB Solid State Drive - Abyss Blue",Available,False,2020-09-23
2021-06-08,1049.99,899.99,"Lenovo - Yoga 7i 2-in-1 14"" Touch Screen Laptop - Intel Evo Platform Core i7 - 12GB Memory - 512GB Solid State Drive - Slate Grey",Available,True,2020-10-14
2021-06-08,829.99,699.99,"Lenovo - Yoga 7i 2-in-1 15.6"" Touch Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Slate Grey",Available,True,2020-10-14
2021-06-08,1399.99,1199.99,"Lenovo - Yoga 9i 14 2-in-1 14"" Touch-Screen Laptop - Intel Evo Platform Core i7 - 16GB Memory - 512GB SSD - Mica",Available,True,2020-09-30
2021-06-08,929.99,799.99,"Lenovo - Yoga 7i 2-in-1 14"" Touch Screen Laptop - Intel Evo Platform Core i5 - 12GB Memory - 512GB Solid State Drive - Dark Moss",Available,True,2020-10-14
2021-06-08,1829.99,1829.99,"Lenovo - Yoga 9i 15"" 2-in-1 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1650Ti - 1TB SSD - Slate Gray",Available,False,2020-10-14
2021-06-08,1079.99,929.99,"Lenovo - Yoga 7i 2-in-1 15.6"" HDR Touch Screen Laptop - Intel Evo Platform Core i7 - 12GB Memory - 512GB Solid State Drive - Dark Moss",Available,True,2020-10-14
2021-06-08,1479.99,1479.99,"Lenovo - 13.3"" ThinkPad X13 Gen 1 Laptop - 8GB Memory - Intel Core i5 - 256GB Hard Drive",Available,False,2020-08-26
2021-06-08,1949.99,1949.99,"Lenovo - 14"" ThinkPad T14s Gen 1 Laptop - 16GB Memory - Intel Core i7 - 512GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,1519.99,1519.99,"Lenovo - 14"" ThinkPad T14s Gen 1 Laptop - 8GB Memory - Intel Core i5 - 256GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,1829.99,1829.99,"Lenovo - 14"" ThinkPad T14s Gen 1 Laptop - 16GB Memory - Intel Core i7 - 512GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,1969.99,1969.99,"Lenovo - 13.3"" ThinkPad X13 Yoga Gen 1 Laptop - 16GB Memory - Intel Core i7 - 512GB Hard Drive",Available,False,2020-08-26
2021-06-08,1549.0,1549.0,"Lenovo - 15.6"" ThinkPad T15 Gen 1 Laptop - 8GB Memory - Intel Core i5 - 256GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,1639.99,1639.99,"Lenovo - 15.6"" Legion 5 Gaming Laptop - 16GB Memory -Intel Core i7 - 1TB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,3099.99,3099.99,"Lenovo - 15.6"" Legion 7 Gaming Laptop - 32GB Memory - Intel Core i9 - 1TB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,1674.0,1674.0,"Lenovo - 14"" ThinkPad X1 Yoga Laptop - 8GB Memory - Intel Core i5 - 256GB Hard Drive",Available,False,2020-08-26
2021-06-08,1699.0,1699.0,"Lenovo - 14"" ThinkPad X1 Gen 8 Laptop - 8GB Memory - Intel Core i5 - 256GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,1469.99,1469.99,"Lenovo - 14"" ThinkPad T14 Gen 1 Laptop - 8GB Memory -Intel Core i5 - 256GB Hard Drive",Available,False,2020-08-26
2021-06-08,1369.0,1369.0,"Lenovo - 14"" ThinkPad T14 Gen 1 Laptop - 8GB Memory -Intel Core i5 - 256GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,959.0,959.0,"Lenovo - 15.6"" ThinkPad L15 Gen 1 Laptop - 8GB Memory - AMD Ryzen 5 PRO - 256GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,969.99,969.99,"Lenovo - 14"" ThinkPad L14 Gen 1 Laptop - 8GB Memory - Intel Core i5 -256GB Hard Drive",Available,False,2020-08-26
2021-06-08,1169.0,1169.0,"Lenovo - 14"" ThinkPad X13 Gen 1 Laptop - 8GB Memory - AMD Ryzen PRO - 256GB Hard Drive",Available,False,2020-08-26
2021-06-08,1749.99,1749.99,"Lenovo - 14"" ThinkPad T14s Gen 1 Laptop - 16GB Memory - Intel Core i5 - 512GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,1829.0,1829.0,"Lenovo - 15.6"" ThinkPad P15s Gen 1 Laptop - 16GB Memory - Intel Core i7 - 512GB Hard Drive",Available,False,2020-08-26
2021-06-08,1649.99,1649.99,"Lenovo - 14"" ThinkPad T14s Gen 1 Laptop - 8GB Memory - Intel Core i7 - 256GB Hard Drive",SoldOut,False,2020-08-26
2021-06-08,729.99,629.99,"Lenovo Yoga 6 13 2-in-1 13.3"" Touch Screen Laptop - AMD Ryzen 5 - 8GB Memory - 256GB SSD - Abyss Blue Fabric Cover",Available,True,2020-10-12
2021-06-08,929.99,929.99,"Lenovo Yoga 6 13 2-in-1 13.3"" Touch Screen Laptop - AMD Ryzen 7 - 16GB Memory - 512GB SSD - Abyss Blue Fabric Cover",Available,False,2021-03-14
2021-06-08,464.0,464.0,HP - ProBook x360 11 G5 EE Notebook - 4 GB Memory - 64 GB eMMC Storage,SoldOut,False,2021-01-20
